id,name,description,club_id,type,created_by,members,created_at,updated_at,room_type,encryption_enabled,cover_image_url,room_images,room_settings,profile_picture_url,edited_at,edited_by
"550e8400-1000-41d4-a716-446655440001","General Discussion","Open discussion for all members across clubs",,"public","550e8400-e29b-41d4-a716-446655440000","{}","2025-07-27 13:47:32.966+05:30","2025-07-30 19:29:51.513+05:30","public","f",,"[]","{}",,,
"550e8400-1000-41d4-a716-446655440002","Announcements","Official announcements from administration",,"public","550e8400-e29b-41d4-a716-446655440001","{}","2025-07-27 13:47:32.966+05:30","2025-07-30 19:29:51.513+05:30","public","f",,"[]","{}",,,
"550e8400-1001-41d4-a716-446655440001","ASCEND General","Main discussion room for ASCEND coding club","ascend","club","550e8400-e29b-41d4-a716-446655440010","{}","2025-07-27 13:47:32.966+05:30","2025-07-30 19:29:51.513+05:30","club","f",,"[]","{}",,,
"550e8400-1001-41d4-a716-446655440002","ASCEND Projects","Discussion about ongoing coding projects","ascend","club","550e8400-e29b-41d4-a716-446655440010","{}","2025-07-27 13:47:32.966+05:30","2025-07-30 19:29:51.513+05:30","club","f",,"[]","{}",,,
"550e8400-1002-41d4-a716-446655440001","ASTER General","Main discussion room for ASTER soft skills club","aster","club","550e8400-e29b-41d4-a716-446655440020","{}","2025-07-27 13:47:32.966+05:30","2025-07-30 19:29:51.513+05:30","club","f",,"[]","{}",,,
"550e8400-1002-41d4-a716-446655440002","ASTER Skills","Discussion about soft skill development","aster","club","550e8400-e29b-41d4-a716-446655440020","{}","2025-07-27 13:47:32.966+05:30","2025-07-30 19:29:51.513+05:30","club","f",,"[]","{}",,,
"550e8400-1003-41d4-a716-446655440001","ACHIEVERS General","Main discussion room for ACHIEVERS higher studies club","achievers","club","550e8400-e29b-41d4-a716-446655440030","{}","2025-07-27 13:47:32.966+05:30","2025-07-30 19:29:51.513+05:30","club","f",,"[]","{}",,,
"550e8400-1003-41d4-a716-446655440002","ACHIEVERS Studies","Discussion about higher studies and competitive exams","achievers","club","550e8400-e29b-41d4-a716-446655440030","{}","2025-07-27 13:47:32.966+05:30","2025-07-30 19:29:51.513+05:30","club","f",,"[]","{}",,,
"550e8400-1004-41d4-a716-446655440001","ALTOGETHER General","Main discussion room for ALTOGETHER development club","altogether","club","550e8400-e29b-41d4-a716-446655440040","{}","2025-07-27 13:47:32.966+05:30","2025-07-30 19:29:51.513+05:30","club","f",,"[]","{}",,,
"550e8400-1004-41d4-a716-446655440002","ALTOGETHER Growth","Discussion about overall development","altogether","club","550e8400-e29b-41d4-a716-446655440040","{}","2025-07-27 13:47:32.966+05:30","2025-07-30 19:29:51.513+05:30","club","f",,"[]","{}",,,
"958e013e-4c75-49f1-bae2-9066a96b4b99","Aster room1","Aster room1","aster","club","550e8400-e29b-41d4-a716-446655440020","{}","2025-07-28 18:25:16.639+05:30","2025-07-30 19:29:51.513+05:30","club","f",,"[]","{}",,,
"15dc37c8-f5fb-40c1-8529-dd2c9ccee52d","Aster Public Room","Hi","aster","public","550e8400-e29b-41d4-a716-446655440020","{}","2025-07-28 18:26:05.359+05:30","2025-07-30 19:29:51.513+05:30","public","f",,"[]","{}",,,
"47dea162-774c-43c5-bdbc-7213b739127d","test2","","aster","club","550e8400-e29b-41d4-a716-446655440020","{}","2025-07-28 18:26:45.039+05:30","2025-07-30 19:29:51.513+05:30","club","f",,"[]","{}",,,
"0211a3ff-ff6b-41fb-9e6b-d698b12d7926","ho","","aster","public","550e8400-e29b-41d4-a716-446655440020","{}","2025-07-28 18:40:42.4+05:30","2025-07-30 19:29:51.513+05:30","public","f",,"[]","{}",,,
"5d7cd7dc-d8e2-4788-b7bf-d76cc9658768","test3","","aster","public","550e8400-e29b-41d4-a716-446655440020","{}","2025-07-28 19:06:46.24+05:30","2025-07-30 19:29:51.513+05:30","public","f",,"[]","{}",,,
"8ed523ff-8417-4ab8-adee-6e98f5e43cee","Enhanced General Chat","Enhanced chat room with encryption and file sharing","ascend","public","550e8400-e29b-41d4-a716-446655440000","{}","2025-07-30 19:29:51.513+05:30","2025-07-30 19:29:51.513+05:30","public","f",,"[]","{}",,,
"2e01a2d0-2ab2-4f6a-9632-2ae379c4f289","Secure Private Room","Encrypted private room for sensitive discussions","ascend","public","550e8400-e29b-41d4-a716-446655440000","{}","2025-07-30 19:29:51.513+05:30","2025-07-30 19:29:51.513+05:30","private","t",,"[]","{}",,,
"8a01e809-0b45-4de1-b542-db5a11896554","Me","my room","aster","club","550e8400-e29b-41d4-a716-446655440020","{}","2025-07-28 18:25:30.139+05:30","2025-07-30 19:29:51.513+05:30","private","f",,"[]","{}",,,
"069d71e7-821c-42f4-8717-7ab370052b99","General Discussion","Open chat for all Zenith members",,"public","550e8400-e29b-41d4-a716-446655440000","{}","2025-08-21 18:00:20.034544+05:30","2025-08-21 18:00:20.034544+05:30","public","f",,"[]","{}",,,
"e2e8632a-3678-42eb-a335-8e450c645234","Tech Talk","Discussions about technology and innovation",,"public","550e8400-e29b-41d4-a716-446655440000","{}","2025-08-21 18:00:20.034544+05:30","2025-08-21 18:00:20.034544+05:30","public","f",,"[]","{}",,,
