        table_name         | constraint_type |             constraint_name              |   column_name    |    foreign_table_name     | foreign_column_name 
---------------------------+-----------------+------------------------------------------+------------------+---------------------------+---------------------
 ai_assignment_generations | CHECK           | 2200_17634_1_not_null                    |                  |                           | 
 ai_assignment_generations | CHECK           | 2200_17634_4_not_null                    |                  |                           | 
 ai_assignment_generations | PRIMARY KEY     | ai_assignment_generations_pkey           | id               | ai_assignment_generations | id
 announcements             | CHECK           | 2200_17916_1_not_null                    |                  |                           | 
 announcements             | CHECK           | 2200_17916_3_not_null                    |                  |                           | 
 announcements             | CHECK           | 2200_17916_2_not_null                    |                  |                           | 
 announcements             | PRIMARY KEY     | announcements_pkey                       | id               | announcements             | id
 assignment_attempts       | CHECK           | 2200_17710_4_not_null                    |                  |                           | 
 assignment_attempts       | CHECK           | 2200_17710_1_not_null                    |                  |                           | 
 assignment_attempts       | CHECK           | 2200_17710_2_not_null                    |                  |                           | 
 assignment_attempts       | CHECK           | 2200_17710_3_not_null                    |                  |                           | 
 assignment_attempts       | PRIMARY KEY     | assignment_attempts_pkey                 | id               | assignment_attempts       | id
 assignment_audit_log      | CHECK           | 2200_17745_2_not_null                    |                  |                           | 
 assignment_audit_log      | CHECK           | 2200_17745_1_not_null                    |                  |                           | 
 assignment_audit_log      | CHECK           | 2200_17745_3_not_null                    |                  |                           | 
 assignment_audit_log      | CHECK           | 2200_17745_5_not_null                    |                  |                           | 
 assignment_audit_log      | PRIMARY KEY     | assignment_audit_log_pkey                | id               | assignment_audit_log      | id
 assignment_questions      | CHECK           | 2200_17662_12_not_null                   |                  |                           | 
 assignment_questions      | CHECK           | assignment_questions_question_type_check |                  | assignment_questions      | question_type
 assignment_questions      | CHECK           | 2200_17662_3_not_null                    |                  |                           | 
 assignment_questions      | CHECK           | 2200_17662_2_not_null                    |                  |                           | 
 assignment_questions      | CHECK           | 2200_17662_1_not_null                    |                  |                           | 
 assignment_questions      | CHECK           | 2200_17662_5_not_null                    |                  |                           | 
 assignment_questions      | CHECK           | 2200_17662_4_not_null                    |                  |                           | 
 assignment_questions      | PRIMARY KEY     | assignment_questions_pkey                | id               | assignment_questions      | id
 assignment_submissions    | CHECK           | 2200_17687_1_not_null                    |                  |                           | 
 assignment_submissions    | PRIMARY KEY     | assignment_submissions_pkey              | id               | assignment_submissions    | id
 assignment_templates      | CHECK           | 2200_17616_1_not_null                    |                  |                           | 
 assignment_templates      | CHECK           | 2200_17616_2_not_null                    |                  |                           | 
 assignment_templates      | CHECK           | 2200_17616_4_not_null                    |                  |                           | 
 assignment_templates      | CHECK           | 2200_17616_5_not_null                    |                  |                           | 
 assignment_templates      | PRIMARY KEY     | assignment_templates_pkey                | id               | assignment_templates      | id
 assignment_violations     | CHECK           | 2200_17770_1_not_null                    |                  |                           | 
 assignment_violations     | CHECK           | 2200_17770_3_not_null                    |                  |                           | 
 assignment_violations     | CHECK           | 2200_17770_2_not_null                    |                  |                           | 
 assignment_violations     | PRIMARY KEY     | assignment_violations_pkey               | id               | assignment_violations     | id
 assignments               | CHECK           | assignments_assignment_type_check        |                  | assignments               | assignment_type
 assignments               | CHECK           | 2200_17567_1_not_null                    |                  |                           | 
 assignments               | CHECK           | 2200_17567_2_not_null                    |                  |                           | 
 assignments               | CHECK           | 2200_17567_3_not_null                    |                  |                           | 
 assignments               | CHECK           | 2200_17567_6_not_null                    |                  |                           | 
 assignments               | CHECK           | assignments_target_audience_check        |                  | assignments               | target_audience
 assignments               | PRIMARY KEY     | assignments_pkey                         | id               | assignments               | id
 audit_logs                | CHECK           | 2200_18312_3_not_null                    |                  |                           | 
 audit_logs                | CHECK           | 2200_18312_4_not_null                    |                  |                           | 
 audit_logs                | CHECK           | 2200_18312_1_not_null                    |                  |                           | 
 audit_logs                | PRIMARY KEY     | audit_logs_pkey                          | id               | audit_logs                | id
 chat_attachments          | CHECK           | 2200_18168_4_not_null                    |                  |                           | 
 chat_attachments          | CHECK           | 2200_18168_1_not_null                    |                  |                           | 
 chat_attachments          | CHECK           | 2200_18168_3_not_null                    |                  |                           | 
 chat_attachments          | CHECK           | 2200_18168_5_not_null                    |                  |                           | 
