 schemaname |         tablename         |                   indexname                   |                                                                indexdef                                                                
------------+---------------------------+-----------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------
 public     | ai_assignment_generations | ai_assignment_generations_pkey                | CREATE UNIQUE INDEX ai_assignment_generations_pkey ON public.ai_assignment_generations USING btree (id)
 public     | ai_assignment_generations | idx_ai_generations_assignment_id              | CREATE INDEX idx_ai_generations_assignment_id ON public.ai_assignment_generations USING btree (generated_assignment_id)
 public     | ai_assignment_generations | idx_ai_generations_created_at                 | CREATE INDEX idx_ai_generations_created_at ON public.ai_assignment_generations USING btree (created_at)
 public     | ai_assignment_generations | idx_ai_generations_status                     | CREATE INDEX idx_ai_generations_status ON public.ai_assignment_generations USING btree (generation_status)
 public     | ai_assignment_generations | idx_ai_generations_template_id                | CREATE INDEX idx_ai_generations_template_id ON public.ai_assignment_generations USING btree (template_id)
 public     | announcements             | announcements_pkey                            | CREATE UNIQUE INDEX announcements_pkey ON public.announcements USING btree (id)
 public     | assignment_attempts       | assignment_attempts_pkey                      | CREATE UNIQUE INDEX assignment_attempts_pkey ON public.assignment_attempts USING btree (id)
 public     | assignment_attempts       | idx_assignment_attempts_assignment_id         | CREATE INDEX idx_assignment_attempts_assignment_id ON public.assignment_attempts USING btree (assignment_id)
 public     | assignment_attempts       | idx_assignment_attempts_assignment_user       | CREATE INDEX idx_assignment_attempts_assignment_user ON public.assignment_attempts USING btree (assignment_id, user_id)
 public     | assignment_attempts       | idx_assignment_attempts_auto_save             | CREATE INDEX idx_assignment_attempts_auto_save ON public.assignment_attempts USING btree (assignment_id, user_id, last_auto_save)
 public     | assignment_attempts       | idx_assignment_attempts_status                | CREATE INDEX idx_assignment_attempts_status ON public.assignment_attempts USING btree (status)
 public     | assignment_attempts       | idx_assignment_attempts_submitted_at          | CREATE INDEX idx_assignment_attempts_submitted_at ON public.assignment_attempts USING btree (submitted_at)
 public     | assignment_attempts       | idx_assignment_attempts_user_id               | CREATE INDEX idx_assignment_attempts_user_id ON public.assignment_attempts USING btree (user_id)
 public     | assignment_attempts       | idx_assignment_attempts_user_status           | CREATE INDEX idx_assignment_attempts_user_status ON public.assignment_attempts USING btree (user_id, status, submitted_at DESC)
 public     | assignment_attempts       | idx_assignment_attempts_violations            | CREATE INDEX idx_assignment_attempts_violations ON public.assignment_attempts USING btree (assignment_id, window_violations)
 public     | assignment_attempts       | idx_attempts_assignment_status                | CREATE INDEX idx_attempts_assignment_status ON public.assignment_attempts USING btree (assignment_id, status)
 public     | assignment_attempts       | idx_attempts_user_assignment                  | CREATE INDEX idx_attempts_user_assignment ON public.assignment_attempts USING btree (user_id, assignment_id, attempt_number)
 public     | assignment_audit_log      | assignment_audit_log_pkey                     | CREATE UNIQUE INDEX assignment_audit_log_pkey ON public.assignment_audit_log USING btree (id)
 public     | assignment_audit_log      | idx_assignment_audit_log_assignment           | CREATE INDEX idx_assignment_audit_log_assignment ON public.assignment_audit_log USING btree (assignment_id)
 public     | assignment_questions      | assignment_questions_pkey                     | CREATE UNIQUE INDEX assignment_questions_pkey ON public.assignment_questions USING btree (id)
 public     | assignment_questions      | idx_assignment_questions_assignment_id        | CREATE INDEX idx_assignment_questions_assignment_id ON public.assignment_questions USING btree (assignment_id)
 public     | assignment_questions      | idx_assignment_questions_correct_answer_jsonb | CREATE INDEX idx_assignment_questions_correct_answer_jsonb ON public.assignment_questions USING gin (correct_answer)
 public     | assignment_questions      | idx_assignment_questions_language_settings    | CREATE INDEX idx_assignment_questions_language_settings ON public.assignment_questions USING btree (code_language, allow_any_language)
 public     | assignment_questions      | idx_questions_assignment_order                | CREATE INDEX idx_questions_assignment_order ON public.assignment_questions USING btree (assignment_id, question_order)
 public     | assignment_questions      | idx_questions_type                            | CREATE INDEX idx_questions_type ON public.assignment_questions USING btree (question_type)
 public     | assignment_submissions    | assignment_submissions_pkey                   | CREATE UNIQUE INDEX assignment_submissions_pkey ON public.assignment_submissions USING btree (id)
 public     | assignment_submissions    | idx_assignment_submissions_unique             | CREATE UNIQUE INDEX idx_assignment_submissions_unique ON public.assignment_submissions USING btree (assignment_id, user_id)
 public     | assignment_submissions    | idx_assignment_submissions_user_submitted     | CREATE INDEX idx_assignment_submissions_user_submitted ON public.assignment_submissions USING btree (user_id, submitted_at DESC)
 public     | assignment_submissions    | idx_submissions_assignment_status             | CREATE INDEX idx_submissions_assignment_status ON public.assignment_submissions USING btree (assignment_id, status)
 public     | assignment_submissions    | idx_submissions_status_submitted              | CREATE INDEX idx_submissions_status_submitted ON public.assignment_submissions USING btree (status, submitted_at DESC)
 public     | assignment_submissions    | idx_submissions_user_submitted                | CREATE INDEX idx_submissions_user_submitted ON public.assignment_submissions USING btree (user_id, submitted_at DESC)
 public     | assignment_templates      | assignment_templates_pkey                     | CREATE UNIQUE INDEX assignment_templates_pkey ON public.assignment_templates USING btree (id)
